,Class,training,cidi_prob,cido_prob,codi_prob,codo_prob,wcd_prob,dfg_conf,dfg_prob,p1p1x,p2p2x,r3r3x,h_cgvc,ang_NHs,ang_CHs,dist_NH,dist_CH
2149,cidi,,0.983,0.014,0.0,0.0,0.003,di,0.999,0.936886511,0.955335185,0.933829455,0.998740979,-0.12443832712958193,-0.019127864325245016,-0.15474313998076025,-0.06014412589958202
2150,codi,,0.023,0.004,0.865,0.068,0.04,di,0.982,0.929728847,0.940327459,0.930168013,0.666111965,0.2894434731142026,0.013372160092848898,0.32294033277856776,0.20287351296974543
2151,cidi,,0.991,0.009,0.0,0.0,0.0,di,1.0,0.981964497,0.973834765,0.994666995,0.996371879,-0.1253136221777757,-0.07309294221531161,-0.10403496796678934,-0.07579765348751774
2152,cidi,,0.992,0.008,0.0,0.0,0.0,di,1.0,0.986770609,0.974466516,0.994971305,0.994625035,-0.1315264260255287,-0.07154229896339942,-0.1140302726558865,-0.0921274186551378
2153,codi,,0.079,0.017,0.867,0.012,0.025,di,0.996,0.884549934,0.980712482,0.994897688,0.5637643379999999,0.21839416218924898,0.17564343801998414,0.10021346316474943,0.03724277098894016
2154,codi,,0.0,0.0,0.983,0.007,0.01,di,0.992,0.843817292,0.8156441440000001,0.8999171990000001,-0.11809941,0.5221478659658111,0.5014092241723695,0.5070197844596179,0.5059890755412823
2155,cidi,,0.977,0.018,0.004,0.0,0.001,di,1.0,0.974649385,0.991894405,0.991792105,0.998532528,-0.14001995257193298,-0.11329333030122601,-0.08743606986042089,-0.029923255711712952
2156,cidi,,0.986,0.01,0.0,0.0,0.004,di,1.0,0.959215028,0.988928416,0.991629299,0.990603284,-0.18574215368248287,-0.068937919270006,-0.13103620948174877,-0.0737943700901962
2157,cidi,,0.976,0.004,0.005,0.001,0.014,di,0.983,0.902717356,0.7008226259999999,0.838516044,0.945699122,-0.01312759771943833,-0.06113816178372949,-0.05253741593087069,-0.23679468831584452
2158,cidi,,0.973,0.007,0.005,0.001,0.014,di,0.976,0.915177026,0.714881877,0.832985911,0.944966976,-0.007864547486082016,-0.04788025467575675,-0.07759117282062979,-0.22975886811242588
2159,cidi,,0.973,0.024,0.0,0.0,0.003,di,0.981,0.82477274,0.7513403759999999,0.824301153,0.988769465,-0.08917074526783672,-0.02228716298463975,-0.2082981861438447,-0.030510216275973053
